configuration,concurrency,repetition,request_index,rtt_ms,handshake_ms,server_crypto_ms,process_cpu_seconds,process_rss_bytes,ok,error
control,10,1,75,179.24433299999998,0.0,0.0,0.317997,35569664,True,
control,10,1,73,194.5715840000002,0.0,0.0,0.319225,35569664,True,
control,10,1,74,191.837083,0.0,0.0,0.320152,35586048,True,
control,10,1,78,175.24383300000014,0.0,0.0,0.32157600000000003,35586048,True,
control,10,1,77,184.88291699999994,0.0,0.0,0.322758,35586048,True,
control,10,1,79,182.9987499999999,0.0,0.0,0.323991,35586048,True,
control,10,1,81,164.23654200000004,0.0,0.0,0.325372,35586048,True,
control,10,1,80,198.74083399999986,0.0,0.0,0.32671999999999995,35586048,True,
control,10,1,82,179.92558299999993,0.0,0.0,0.32794799999999996,35586048,True,
control,10,1,83,173.39629200000007,0.0,0.0,0.329167,35586048,True,
control,10,1,85,161.20391700000013,0.0,0.0,0.33031,35586048,True,
control,10,1,86,163.23266699999994,0.0,0.0,0.33153499999999997,35586048,True,
control,10,1,84,171.102042,0.0,0.0,0.33265199999999995,35586048,True,
control,10,1,89,150.89579099999995,0.0,0.0,0.333849,35586048,True,
control,10,1,88,178.79054100000013,0.0,0.0,0.335371,35602432,True,
control,10,1,87,188.22858399999998,0.0,0.0,0.336559,35602432,True,
control,10,1,90,198.593209,0.0,0.0,0.33797999999999995,35602432,True,
control,10,1,91,188.89937499999988,0.0,0.0,0.33872199999999997,35602432,True,
control,10,1,94,178.44391700000006,0.0,0.0,0.339367,35602432,True,
control,10,1,95,176.00616700000015,0.0,0.0,0.339949,35602432,True,
control,10,1,93,182.19049999999993,0.0,0.0,0.340485,35602432,True,
control,10,1,97,164.42670799999993,0.0,0.0,0.34129,35602432,True,
control,10,1,92,188.50854200000012,0.0,0.0,0.341519,35602432,True,
control,10,1,96,179.75054099999977,0.0,0.0,0.342114,35602432,True,
control,10,1,98,154.47199999999995,0.0,0.0,0.342792,35602432,True,
control,10,1,99,148.377333,0.0,0.0,0.343422,35602432,True,
