configuration,concurrency,repetition,request_index,rtt_ms,handshake_ms,server_crypto_ms,process_cpu_seconds,process_rss_bytes,ok,error
classical,10,1,4,232.921792,16.391209000000018,215.12154199999856,0.22559799999999997,38043648,True,
classical,10,1,0,239.204292,17.485,220.3278750000024,0.226041,38043648,True,
classical,10,1,1,237.15016699999998,16.69754200000001,218.59762500000102,0.22638499999999998,38043648,True,
classical,10,1,9,232.92575,22.019041000000016,211.8367089999964,0.229887,38092800,True,
classical,10,1,5,236.107459,20.44579200000002,213.76300000000015,0.230221,38092800,True,
classical,10,1,7,235.629584,20.740416999999983,206.53974999999747,0.230566,38109184,True,
classical,10,1,2,239.490458,18.84174999999999,207.61408399999937,0.23090899999999998,38109184,True,
classical,10,1,6,233.60008299999998,23.93324999999999,205.53104200000405,0.23126,38109184,True,
classical,10,1,8,236.036583,21.351583999999978,198.83920800000254,0.231622,38109184,True,
classical,10,1,3,245.24224999999998,17.61020799999999,202.2936669999993,0.234991,38125568,True,
classical,10,1,10,112.63462499999993,13.64749999999998,93.54587500000378,0.263749,38223872,True,
classical,10,1,14,175.33683299999996,13.71675,150.91333300000542,0.267023,38223872,True,
classical,10,1,11,172.33975,24.31820800000001,150.33325000000275,0.268333,38240256,True,
classical,10,1,13,194.117125,10.816249999999972,170.39566700000108,0.270081,38240256,True,
classical,10,1,17,174.47591699999998,28.80358400000005,153.07387500000402,0.270393,38240256,True,
classical,10,1,18,176.91629200000003,27.31454099999997,153.75524999999612,0.271822,38256640,True,
classical,10,1,12,169.45862499999998,46.77283300000007,151.01237500000053,0.275678,38289408,True,
classical,10,1,16,178.98874999999992,31.04758299999999,166.01762499999495,0.276148,38289408,True,
classical,10,1,19,189.57199999999997,24.863791999999997,171.30783400000382,0.282315,38322176,True,
classical,10,1,15,193.01904199999998,24.983124999999994,181.0499589999992,0.282738,38322176,True,
classical,10,1,20,152.74375000000006,7.039334000000008,132.18958299999883,0.298539,38354944,True,
classical,10,1,22,171.94891700000002,17.131333000000026,154.94862500000295,0.301852,38354944,True,
classical,10,1,21,182.82233300000007,19.315082999999955,130.58979099999846,0.30339099999999997,38354944,True,
classical,10,1,26,171.089834,11.361874999999966,131.75958299999735,0.30523599999999995,38371328,True,
classical,10,1,23,180.01362500000008,9.298958999999996,164.3074999999996,0.30561699999999997,38371328,True,
classical,10,1,29,178.78945800000002,37.84137499999996,163.3230420000018,0.313986,38387712,True,
classical,10,1,25,182.76970800000004,50.13954099999995,169.04129199999574,0.315401,38387712,True,
classical,10,1,24,185.92895900000005,55.703459000000066,166.75829199999725,0.31684399999999996,38387712,True,
classical,10,1,27,195.70266700000005,48.50845800000003,185.32358299999885,0.320976,38404096,True,
classical,10,1,28,207.18262499999994,40.797792,189.65862499999986,0.32384099999999993,38469632,True,
classical,10,1,30,188.885333,17.193540999999925,171.2092080000005,0.328164,38502400,True,
classical,10,1,32,160.60079199999998,13.948375000000013,147.5711670000024,0.33181099999999997,38502400,True,
classical,10,1,34,154.579,19.717249999999908,135.32395800000074,0.333218,38502400,True,
classical,10,1,31,184.29675,16.29283399999992,161.34783300000066,0.334824,38502400,True,
classical,10,1,33,181.41854200000006,21.369583999999996,152.5091250000017,0.33910399999999996,38518784,True,
classical,10,1,37,150.50170800000006,15.701542000000067,138.77379199999496,0.34193999999999997,38518784,True,
classical,10,1,36,172.32887499999993,13.962833000000007,157.8856250000058,0.344735,38535168,True,
classical,10,1,35,178.74800000000002,15.362499999999946,160.22925000000043,0.346132,38551552,True,
classical,10,1,38,158.2712919999999,17.087541999999956,138.11179100000004,0.347369,38551552,True,
classical,10,1,39,182.3244169999999,13.793166999999995,169.51499999999697,0.35467099999999996,38584320,True,
classical,10,1,40,173.62441700000008,20.481917000000017,153.8926659999973,0.356117,38584320,True,
classical,10,1,41,158.8423750000001,19.607916000000003,138.16437500000234,0.360743,38584320,True,
classical,10,1,42,158.57437499999995,25.816416999999923,137.1625000000023,0.362323,38584320,True,
classical,10,1,43,180.090584,20.594958999999857,151.50320800000117,0.365846,38600704,True,
classical,10,1,45,170.27879199999995,19.117750000000157,150.40900000000335,0.37113899999999994,38633472,True,
classical,10,1,44,188.24408399999993,19.424208,171.901333000001,0.37260299999999996,38649856,True,
classical,10,1,46,162.09916700000005,22.249458999999973,153.36520799999676,0.374415,38649856,True,
classical,10,1,48,171.16245900000004,20.37245799999998,156.3581669999934,0.37992499999999996,38649856,True,
classical,10,1,47,175.02387499999995,20.87008300000015,157.68729199999854,0.381551,38649856,True,
classical,10,1,49,154.90300000000002,19.516042000000013,141.7702919999968,0.38295799999999997,38649856,True,
classical,10,1,50,178.8395839999999,21.50162499999997,165.52283299999715,0.38955799999999996,38682624,True,
classical,10,1,51,153.17920799999985,26.13962500000011,126.62420799999552,0.392734,38699008,True,
classical,10,1,53,166.22999999999988,12.956417000000053,152.8100419999987,0.39622699999999994,38715392,True,
classical,10,1,55,152.79662499999992,10.786875000000196,134.77599999999512,0.39761199999999997,38715392,True,
classical,10,1,52,189.63958299999996,31.849459000000024,176.37049999999732,0.39900199999999997,38715392,True,
classical,10,1,54,173.659542,8.726709000000055,149.8261670000005,0.40164999999999995,38715392,True,
classical,10,1,56,182.24458399999997,12.113417000000126,167.56137500000534,0.407275,38731776,True,
classical,10,1,58,164.34408300000004,15.22991600000001,149.74583299999722,0.408491,38731776,True,
classical,10,1,57,178.405417,17.218292000000133,161.8758330000034,0.41133899999999995,38748160,True,
classical,10,1,59,178.61749999999986,18.532499999999843,154.81995799999737,0.414059,38764544,True,
classical,10,1,60,148.16925000000003,18.67545799999992,122.91429100000073,0.415531,38764544,True,
classical,10,1,61,150.536542,24.67679199999995,137.46250000000515,0.421562,38797312,True,
classical,10,1,62,131.31433299999995,15.73904199999987,111.95608299999549,0.42300499999999996,38797312,True,
classical,10,1,63,170.88595800000016,22.540707999999967,157.9721660000004,0.428125,38797312,True,
classical,10,1,65,163.357792,14.42770900000001,155.17283399999826,0.429299,38797312,True,
classical,10,1,64,181.01925000000008,21.33108299999997,171.23570899999407,0.431932,38797312,True,
classical,10,1,67,181.28529199999988,11.064332999999982,156.2852079999999,0.435032,38830080,True,
classical,10,1,68,140.636875,40.09583399999994,112.92804100000353,0.43623199999999995,38846464,True,
classical,10,1,66,187.111292,15.351040999999954,153.149667000001,0.437825,38862848,True,
classical,10,1,70,143.6208339999998,31.29224999999991,129.9128330000059,0.444677,38862848,True,
classical,10,1,69,176.56595800000008,22.74679199999996,161.9952920000003,0.44596399999999997,38862848,True,
classical,10,1,72,154.46833400000014,18.884541000000034,116.18675000000422,0.45031499999999997,38862848,True,
classical,10,1,71,184.2443330000001,25.326167000000012,156.66683399999926,0.4532729999999999,38862848,True,
classical,10,1,73,152.23475000000008,14.598249999999924,130.93549999999965,0.455161,38862848,True,
classical,10,1,75,159.32141600000006,28.801666999999973,142.20662500000003,0.461176,38895616,True,
classical,10,1,74,189.008791,15.489375000000027,168.40175000000102,0.462405,38895616,True,
classical,10,1,76,157.8532909999999,22.108291000000115,142.9346249999952,0.46496099999999996,38895616,True,
classical,10,1,77,174.80962499999998,20.163083999999998,158.95337499999584,0.470096,38895616,True,
classical,10,1,79,167.45545900000013,12.695582999999955,145.901791,0.471519,38895616,True,
classical,10,1,78,187.37070899999986,10.446959000000033,164.8767079999942,0.47276699999999994,38895616,True,
classical,10,1,80,190.27129200000005,15.23416700000002,172.8630839999994,0.478431,38895616,True,
classical,10,1,81,137.17316700000003,23.698958999999853,119.46566600000352,0.479657,38895616,True,
classical,10,1,82,191.59949999999992,22.175500000000127,176.04908299999522,0.484326,38895616,True,
classical,10,1,84,153.36358399999983,15.622625000000001,135.1134579999993,0.48588499999999996,38895616,True,
classical,10,1,83,202.1529580000001,13.984875000000008,169.14974999999544,0.48738899999999996,38895616,True,
classical,10,1,86,173.254083,14.834041999999936,156.20183300000434,0.493173,38895616,True,
classical,10,1,85,189.33333299999978,13.070874999999926,172.24412500000597,0.494415,38895616,True,
classical,10,1,87,177.05266600000024,15.271209000000008,163.40524999999673,0.497537,38895616,True,
classical,10,1,88,178.49950000000004,11.488957999999938,167.08729100000141,0.500035,38895616,True,
classical,10,1,89,173.34645800000015,19.134207999999873,160.93045799999572,0.502583,38895616,True,
classical,10,1,90,161.43579200000025,12.276833000000043,136.12479200000394,0.5053289999999999,38895616,True,
classical,10,1,91,161.7269579999998,13.19300000000001,136.8074999999962,0.506069,38895616,True,
classical,10,1,92,134.89958299999972,23.712541000000087,117.82183400000434,0.508993,38895616,True,
classical,10,1,94,128.87058300000032,17.679499999999848,123.11416699999711,0.5102709999999999,38895616,True,
classical,10,1,93,166.88179100000022,22.999624999999746,156.24766700000237,0.511494,38895616,True,
classical,10,1,96,142.490166,16.732250000000004,132.2765419999996,0.512502,38895616,True,
classical,10,1,98,124.10162499999977,13.522082999999796,113.07129100000424,0.513323,38895616,True,
classical,10,1,95,152.07595900000027,18.71016699999961,143.06437500000158,0.514215,38895616,True,
classical,10,1,99,108.82270900000002,31.166750000000132,96.60279199999877,0.514963,38895616,True,
classical,10,1,97,142.34016699999995,8.789624999999912,123.63179199999763,0.515655,38895616,True,
