concurrency,config,metric,n_control,n_treatment,median_control,median_treatment,overhead_pct_vs_control,u_statistic,p_value,significant_at_0.05
10,classical,rtt_ms,240,240,100.9467769999901,98.76471400002627,-2.1615974920764898,29870.0,0.4815186043239972,False
10,hybrid,rtt_ms,240,240,100.9467769999901,101.66560399989066,0.7120851415599208,28389.0,0.7870376633617551,False
100,classical,rtt_ms,2358,2375,1203.0364149999855,2514.2611680000755,108.99293958613097,4147543.0,9.979039971596587e-181,True
100,hybrid,rtt_ms,2358,2362,1203.0364149999855,982.3913315000254,-18.340682023325343,2438353.0,1.350752801207241e-13,True
1000,hybrid,rtt_ms,23626,4715,17817.316074000017,17522.713431000055,-1.6534625180156173,51865163.0,7.840567614642722e-14,True
