config,concurrency,n_requests,n_repetitions,rtt_ms_mean,rtt_ms_median,rtt_ms_std,rtt_ms_p95,rtt_ms_p99,handshake_ms_mean,handshake_ms_median,handshake_ms_std,handshake_ms_p95,handshake_ms_p99,total_ms_mean,total_ms_median,total_ms_std,total_ms_p95,total_ms_p99,server_decapsulate_ms_mean,server_decapsulate_ms_median,server_decapsulate_ms_std,server_decapsulate_ms_p95,server_decapsulate_ms_p99,server_inference_ms_mean,server_inference_ms_median,server_inference_ms_std,server_inference_ms_p95,server_inference_ms_p99,server_sign_ms_mean,server_sign_ms_median,server_sign_ms_std,server_sign_ms_p95,server_sign_ms_p99,server_crypto_ms_mean,server_crypto_ms_median,server_crypto_ms_std,server_crypto_ms_p95,server_crypto_ms_p99,server_total_ms_mean,server_total_ms_median,server_total_ms_std,server_total_ms_p95,server_total_ms_p99,verify_ms_mean,verify_ms_median,verify_ms_std,verify_ms_p95,verify_ms_p99
classical,10,240,5,109.60502002083483,98.76471400002627,50.73629992257032,188.16520900001018,237.7552748300081,460.2431168958352,413.40491699997983,250.6435072649878,965.8276623501022,1239.027987519923,569.84813691667,528.0207750000727,259.7898560374971,1092.1028533998422,1354.5210731099398,0.9369313458260345,0.6974289999561734,1.993004548708084,0.8280760999355152,4.814541409925823,60.135693337494445,53.959320999979354,36.68341497476685,119.61860234996487,145.8859158800055,0.8178572208313047,0.07925199997771415,4.9438474720210035,0.13309090002167065,27.56147930994747,2.0792461416628307,0.8164784999280528,7.3121438691231955,1.829904449903044,42.044052060011566,62.88047697083622,55.650090000085584,36.85312712224322,122.78796789997837,153.00627384004642,0.17902333333571127,0.11942200001158196,0.43877789082845337,0.17080789995134169,2.841337280078726
control,10,240,5,105.1220075708386,100.9467769999901,40.31751318473524,183.04788215005485,221.71915692007923,0.0,0.0,0.0,0.0,0.0,105.1220075708386,100.9467769999901,40.31751318473524,183.04788215005485,221.71915692007923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybrid,10,240,5,104.72063520833974,101.66560399989066,41.94497916295844,164.6091040000328,255.96874647002548,33.387769129161406,25.567821000095137,21.65637626549104,77.920373450047,86.70567273988125,138.10840433750116,131.29424499993547,45.30898391584737,227.90461710005727,282.637197550016,0.0708265708311728,0.0596930000256179,0.044454147353831415,0.12783199981640783,0.14259794995041364,54.792720050002686,49.70214099989789,30.43198940843585,92.94468985007134,180.8916714800647,1.857422704167296,0.0789069999882485,11.18342651689411,0.15184284993665637,44.425429720001816,2.0416407499917946,0.16953150009157975,11.262395123675278,0.7899218500938168,44.520466520013976,56.90567628750595,50.41554749993793,34.211637591636666,97.65974259984195,209.94921663996593,0.22293154583508112,0.11384200001884885,1.0652864669685513,0.15211239986001598,2.9710225000985506
classical,100,2375,5,2464.6604110126336,2514.2611680000755,1035.4683252454495,3890.420765400037,6024.869247659892,3648.8717705793665,3566.4866559998245,1003.4299342966037,5378.766325899937,5975.909099019971,6113.532181592001,6035.660418999896,1378.9001924689592,8205.211361200121,11014.850313719988,4.831302647158832,0.7371730000613752,33.737559609549415,0.9365601000354128,130.344354340097,453.0200122901052,321.4567919999354,413.0496957843024,1293.2004979999863,1904.0003661401524,5.443125968840257,0.0827490000574471,38.857098990770346,0.15703089993621655,189.236111619934,11.410883593684048,0.8535540002867492,53.87205433976045,54.93455740024726,274.0769792400524,465.66271427831674,337.23115200018583,416.90095229863357,1312.6164538999542,1904.9812325999928,0.21510358905154708,0.1142549999713082,0.5938668268165291,0.17270910004754095,4.14307774000008
control,100,2358,5,1641.217158730703,1203.0364149999855,1329.4525270208353,4559.943334650001,6555.742902540041,0.0,0.0,0.0,0.0,0.0,1641.217158730703,1203.0364149999855,1329.4525270208353,4559.943334650001,6555.742902540041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybrid,100,2362,5,1414.2927453573234,982.3913315000254,1138.1071917632005,3932.7758709001146,5683.736071620018,1027.942835016089,742.9825294999546,958.7866346616604,3149.0249647500264,4673.854241090011,2442.2355803734126,1960.0035000000844,1335.4569985335916,5228.311522000022,6287.225394500022,0.1290370965281961,0.0656039999284985,2.2710996780237274,0.12451010013592163,0.15846577006413998,95.25335992929818,64.97281100007513,85.22753348733569,269.23267024995965,376.9451962099787,1.0794509148983127,0.0874015000817962,9.198561764239045,0.13971614984029648,36.689351439920166,1.81108489373156,0.181948000090415,12.24573915694243,0.30055785001650287,60.30291471988842,97.16405632726462,66.43361400006143,86.31898134241749,272.6601593500503,377.68187825994573,0.2169643166804654,0.1220995000039693,0.5994481896643993,0.17206684999564448,4.162074589969507
control,1000,23626,5,17520.043895295945,17817.316074000017,5229.47768136556,26479.37785524991,30701.729866750044,0.0,0.0,0.0,0.0,0.0,17520.043895295945,17817.316074000017,5229.47768136556,26479.37785524991,30701.729866750044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybrid,1000,4715,1,16577.58518923054,17522.713431000055,7285.72589958482,27860.830232499993,35730.364956499885,13060.940991163945,9760.402732999864,8584.85849186811,31334.229027699945,37592.755966760014,29638.52618039448,27818.106110999903,9106.343938693288,47335.59253229994,54007.76173501996,0.2933664445400635,0.0670279998757905,6.532247044486962,0.13855289994353365,0.1909296201210963,247.6151349164369,201.38079399998787,191.2084632726447,619.6455014999857,911.1541997799472,3.013823707952702,0.0937470001645124,25.20107191987942,0.15422700007547976,98.69494313987059,4.627828548041155,0.1919549997637659,32.15879263875645,0.34208370025226037,150.69052707994084,252.35682244644804,206.0016289999567,192.84600370801226,624.3464425998354,921.1006892399673,0.1763013885503239,0.1303750000261061,0.4152092263913021,0.18153699998038061,4.037089940088453
